line,l_area,l_perimeter,l_length,l_width,l_apex,l_base,t_area,t_perimeter,t_length,t_width,t_apex,t_base,r_area,r_perimeter,r_length,r_width,r_apex,r_base,leaftype
PI254557,45.28529544,33.40538061,8.241486208,6.956758039,81.37797205,96.26859965,42.45573032,32.70829701,8.457451915,7.589430183,82.34404151,104.9674134,47.51880996,34.25694794,8.304527947,7.076920122,81.93540236,95.90537867,1
PI264686,47.84384532,33.94425218,8.017662033,7.249138094,83.64590555,98.16807163,52.72704119,34.96626554,8.573428149,8.678520003,94.19579038,111.8191031,48.46373615,34.02381533,7.951896258,7.297840051,86.49353711,99.29318263,1
PI271401,54.30519308,36.95143258,8.733624258,7.76172934,81.81345167,95.42126653,54.70226447,37.15613768,9.094728663,8.87637031,84.70726208,108.8306229,56.47544566,36.96958812,8.771567143,7.904466945,84.69396713,97.74844396,1
PI271403,55.85078707,36.60572394,8.703517535,7.850915046,86.24319109,99.5279356,54.42106905,35.98353419,8.682615623,8.912050115,94.88887039,112.8271605,55.99805888,36.49764272,8.711916548,7.901773108,87.10831866,98.98080776,1
PI271404,50.58017171,34.97524268,8.388662169,7.594283669,84.3230724,98.22381205,49.30622806,35.18822574,8.678125628,8.439383604,88.51298751,108.5710585,52.58018145,35.61669417,8.572823402,7.750113179,83.08119009,97.37499981,1
PI271405,39.86087004,31.0679007,8.041283221,6.41360661,80.78209791,92.94656401,39.14747145,33.16596151,8.289570503,7.205200998,76.71664882,105.3254814,41.55955374,31.9421343,8.224054116,6.523866049,80.52754259,92.62376669,1
PI273487,54.69825077,35.84919286,8.647018118,7.852468298,86.09314523,99.07282571,54.40906703,36.95473941,8.793824185,8.877851246,90.84982032,109.9899095,55.45295249,36.51628107,8.665246366,7.916472647,85.56166404,97.59496183,1
PI305413,40.3925464,31.47845098,7.649227353,6.647663261,81.69575982,97.24387091,38.59018419,30.78116026,7.986944185,7.276813637,86.51888475,107.8986551,40.11972973,31.52453146,7.677780052,6.671497768,85.19743244,98.69958519,1
PI323292,52.92298833,35.47473973,8.367598526,7.733618014,89.42248174,101.2589778,50.48321783,34.66142525,8.689919243,8.490388243,93.49217593,109.1890274,53.25328466,34.95347844,8.61769161,7.713666476,88.4827845,98.45688817,1
PI346313,45.76922851,33.67348465,8.061830703,7.262310662,83.80369597,99.42273796,43.36299371,32.55549384,8.039675209,7.986688449,94.21649288,111.9120087,45.61682738,32.89529387,8.061283416,7.283917002,86.77151962,99.98036263,1
PI346314,36.91693204,30.24277225,7.827173836,6.111351178,80.20278856,90.65898404,35.51034284,29.87291926,8.085257817,6.427645943,83.42650745,102.1879752,37.9348927,30.38100018,7.67587167,6.178593544,80.72670321,91.6994869,1
PI346315,46.53237159,33.39393882,8.326537814,7.15872532,85.30561193,97.11315746,46.47293966,33.49919213,8.534914775,8.007471835,88.45696323,107.7008507,46.78010122,33.60753787,8.357406654,7.112858121,84.96139717,96.98137981,1
