"line","l_area","l_perimeter","l_length","l_width","l_apex","l_base","t_area","t_perimeter","t_length","t_width","t_apex","t_base","r_area","r_perimeter","r_length","r_width","r_apex","r_base"
"PI363770",50.0015064942372,34.9423605823211,8.51965627678942,7.594317868464,84.6937229581645,99.1843336493003,48.3152287859436,34.3441963787139,8.43904135326484,8.38208598805869,92.7719273587005,111.697537811007,51.3061179957578,34.9326952329781,8.3238818662243,7.73715525139808,85.6788589257818,100.80966584204
"PI363771",58.7705517419115,37.495303921689,8.82037849412715,8.23137206957495,90.2573668076966,102.796095587116,55.8156559465954,36.5699813453539,9.03053917643928,8.89713250386158,91.1104807220491,109.772258673563,59.2161688973397,37.2700486684519,8.46650410306272,8.26184704924347,92.1680545700503,104.135453357303
"PI363778",49.2814202226157,34.0590272355459,8.48152185548222,7.36669517915716,87.3256078144709,98.8625903116878,47.5275841169193,34.1394915978818,8.46310038798577,8.33134583629584,95.3153498131252,110.677895381112,50.4974555305793,34.8185297092488,8.33559021256599,7.56620525058772,85.4108703287748,98.4005000469827
"PI363779",52.5567985441622,35.4361642730102,8.63491578735046,7.62289221193748,87.7816629234965,100.504216925363,48.794208866544,34.7646303392191,8.94514982201771,7.98156100626242,87.2701465399669,104.50033284173,52.9808395650804,35.6118138351352,8.73217361513154,7.65388306987812,86.5252931939506,98.4975339971655
"PI363781",47.9247533079356,33.8208123431976,8.51971412416852,7.19520844226543,79.7369241029119,95.8631901126409,45.8553567398109,33.3562848522669,8.64700505741292,7.91149444612023,86.0114670343826,106.399613714933,48.2673015584919,34.1359630132737,8.45592657166346,7.2864932047561,81.717090744927,97.2190299738819
"PI363782",46.5686880132132,33.2385305307478,8.36829267510618,7.0901544065582,83.4947217119434,95.8382101104565,46.4218551252068,33.5854534248841,8.4305100525711,7.84603745832035,86.0285306196392,105.486853684166,47.7027567744432,33.6279860129291,8.4337482644905,7.03454188851377,81.9959190083048,96.0793799047077
"PI363820",42.167842113019,32.0571284553995,8.24012128480831,6.84450845002755,80.6205953900279,96.2187451505658,39.3364909217376,31.2920072619639,8.31690617613733,7.24575509463057,84.4781508333277,104.572992499455,41.6298360373229,32.4750869512451,8.14394432368677,6.74711868239907,78.8318886757296,92.6226346831594
"PI363821",42.4009762853667,32.2698389228954,8.24522616797147,6.88096039155145,82.153119463592,97.3181957302395,42.4663370480493,32.5834050198646,8.42537556651537,7.52793096111899,86.8110783979122,106.212703918131,44.4531731794071,33.3489392950799,8.15559070188246,6.98180304561313,84.0419737456413,98.5153420155657
"PI363823",44.691129962748,32.8147275683752,8.16896775858184,7.13443438913108,83.294819607881,98.1628455749189,43.2397741832785,33.2089530946919,8.18213668478154,7.85751710076669,88.3165896183227,106.661941526448,46.4453683126698,33.1717003942965,8.16514636698789,7.26072644441499,85.8450858891257,98.8206736517435
"PI363824",37.3507280195796,30.576424939316,8.17727069876315,6.14566154647684,76.8118889132814,90.1175436216953,38.6148683923413,31.2386814858791,8.35220372195094,7.0809762499068,81.7149587636028,103.248944419284,37.3473484450333,31.2362378526178,7.83407946911613,6.26281175061479,75.8408195126118,92.1452615006542
"PI363825",39.5811557843971,33.2254961526664,7.90614207711361,7.38089441135154,86.0382146111639,102.567123118343,39.2723465808659,30.5010200743917,7.64873517378527,7.47518510409218,90.7918248938873,111.722050731414,41.3178906804911,30.9162344719631,8.11933547525665,6.74641017712311,83.6994350185048,99.4607286708265
"PI363828",48.3530158315989,34.2167255525106,8.45831272603492,7.49235338605157,88.5472695200304,100.498032346752,48.8396298230093,34.3647713999617,8.75203134491327,8.15671548434246,87.8976222055163,107.474744132998,49.5349983086529,34.8873750469396,8.71699073441386,7.45106242276673,82.6265808376364,98.1907924491689
"PI363835",49.3489643581885,34.295796142227,8.29966476913109,7.40603887397113,86.2616264499559,100.131113886375,49.2624177260293,34.4874000529253,8.73971326774821,8.18203428822814,86.8112035185315,107.67654532536,49.9934467850608,34.701502141139,8.37991927739693,7.41820954511206,87.6778275464873,100.192690164467
"PI363836",44.1249154479833,32.746996800395,8.12074186963783,6.9542155334383,82.5895832118811,96.5737641084336,42.8346481706897,33.7579879545324,8.47089297705324,7.75359768132475,79.0864272940669,105.046241622203,45.4624831811222,33.368752055183,8.24686952260077,7.04433062498926,81.7784527400766,97.7325018329406
"PI363840",48.9607364976203,34.054902517968,8.4867912951867,7.40400358352538,87.0896464631283,99.9186989044609,49.6563759367001,34.2198276373311,8.85868897431206,8.21388153394495,88.0066943575591,107.300302357198,50.2800493918899,35.0565022928634,8.60216323230067,7.40757773684845,83.4315068603337,95.573838689193
"PI363869",40.254784225708,31.2448803144784,8.02359603260444,6.56903856757202,80.6763679346734,93.4971629351852,39.4846787117511,31.0277750754684,7.86269094371711,7.13445313192894,88.8561712712248,106.622199624808,41.0823617456077,31.6662604051189,8.13102821837882,6.62095964314157,81.5127057683762,94.2160256658663
"PI363898",40.3964257001763,31.1851049067997,7.93968331527363,6.61281650824248,85.6904145644471,97.9463023480935,37.734145590484,30.3496918548812,7.98668756686767,7.05674240237611,85.1939725572772,106.505631279994,41.6623913044905,31.6448154812565,7.82919778065059,6.78881169426575,85.2087437159847,99.4839946689896
"PI363909",47.3166858612393,33.3766451579638,8.35633686188795,7.27822589072804,87.194406814397,100.039584743288,46.8951706886903,33.4644934193541,8.40638283518465,8.05028207391965,91.0204581721898,110.035524277751,48.1448314837466,34.2046575980775,8.21701628551735,7.35544831105359,85.0986222747628,99.9069569267703
"PI363924",56.3042924085052,36.0465697362507,8.81766839360087,7.9234204079733,85.2482857756087,98.9789615081795,56.398525522787,36.4871126514487,9.15888235290508,8.83663985575944,86.797659741434,108.036613414663,57.0863153661342,36.8017231209923,8.86830290377668,7.93722745638167,85.7319555600439,98.4102419114034
"PI363974",42.4499621125097,31.9947999588169,7.78366870654097,6.81961348730533,87.3241145195538,100.550345911171,42.5630127028073,32.1843898755749,8.34906349224267,7.6201273769375,88.5636361792135,107.233043838831,44.2720179642001,32.7861527124339,8.31768601466418,6.83268806753141,83.5597954937606,96.4152768958786
"PI363988",51.2695904196407,34.5639942351656,8.27715724704227,7.7212619948241,90.9498913176921,104.093742263959,49.0206299360495,34.6555088576678,8.85843036639685,8.39477296013735,85.2854689223449,108.118003721237,53.1014421255122,35.6304801883339,8.64763010471038,7.96098313515172,85.2905444401836,100.910472325919
